Timestamp,Please select a character to submit matchup data for.,What is your approximate skill level?,What is your tag?,Bowser,Captain Falcon,Charizard,Diddy Kong,Donkey Kong,Falco,Fox,Ganondorf,Ice Climbers,Ike,Ivysaur,Jigglypuff,King Dedede,Kirby,Knuckles,Link,Lucario,Lucas,Luigi,Mario,Marth,Meta Knight,Mewtwo,Mr. Game and Watch,Ness,Olimar,Peach,Pikachu,Pit,R.O.B.,Roy,Samus,Sheik,Snake,Sonic,Squirtle,Toon Link,Wario,Wolf,Yoshi,Zelda,Zero Suit Samus,"I attest that the data I am submitting is my actual opinion, and I am not submitting junk data to cause a headache."
9/22/2023 20:11:38,Zero Suit Samus,High Level (I regularly make it out of pools in tournaments),GooSluj,60:40,45:55,60:40,50:50,50:50,45:55,40:60,60:40,60:40,60:40,55:45,55:45,60:40,55:45,55:45,55:45,50:50,50:50,55:45,55:45,60:40,45:55,50:50,55:45,55:45,55:45,55:45,55:45,55:45,60:40,55:45,60:40,45:55,55:45,50:50,55:45,55:45,50:50,45:55,60:40,55:45,50:50,Yes
9/22/2023 20:13:35,Fox,Intermediate (I have participated in multiple tournaments),Plant God,70:30,60:40,,50:50,55:45,45:55,50:50,70:30,55:45,55:45,55:45,60:40,60:40,55:45,,60:40,50:50,55:45,60:40,55:45,45:55,40:60,50:50,45:55,60:40,55:45,60:40,55:45,60:40,50:50,45:55,50:50,55:45,55:45,50:50,,,45:55,55:45,,,,Yes
9/22/2023 20:35:13,Olimar,Top Player (I have won regional or larger sized tournaments),~CP9~,70:30,30:70,45:55,50:50,55:45,30:70,30:70,60:40,40:60,30:70,55:45,70:30,60:40,60:40,50:50,40:60,50:50,55:45,70:30,45:55,30:70,30:70,40:60,60:40,60:40,50:50,60:40,45:55,45:55,45:55,40:60,60:40,30:70,80:20,30:70,55:45,50:50,55:45,30:70,45:55,60:40,40:60,Yes
9/22/2023 20:46:07,Roy,Intermediate (I have participated in multiple tournaments),Tater,,50:50,,,40:60,,55:45,50:50,,50:50,,,30:70,,,,,55:45,,45:55,50:50,50:50,,,60:40,,,,,,,,50:50,40:60,,,,,,40:60,,40:60,Yes
9/22/2023 21:06:46,Ivysaur,High Level (I regularly make it out of pools in tournaments),BUH,70:30,30:70,60:40,55:45,40:60,50:50,30:70,60:40,55:45,40:60,50:50,60:40,70:30,40:60,40:60,40:60,45:55,45:55,70:30,40:60,50:50,40:60,40:60,60:40,55:45,55:45,50:50,50:50,45:55,50:50,60:40,55:45,55:45,60:40,55:45,45:55,45:55,40:60,45:55,60:40,60:40,40:60,Yes
9/22/2023 21:09:10,Yoshi,Top Player (I have won regional or larger sized tournaments),Shiny Zubat,50:50,55:45,20:80,45:55,30:70,40:60,50:50,50:50,40:60,30:70,60:40,50:50,60:40,55:45,40:60,40:60,30:70,50:50,70:30,50:50,60:40,40:60,30:70,80:20,50:50,50:50,40:60,50:50,50:50,40:60,45:55,40:60,40:60,55:45,50:50,70:30,50:50,40:60,40:60,50:50,45:55,30:70,Yes
9/22/2023 21:18:15,Roy,High Level (I regularly make it out of pools in tournaments),Atari,30:70,40:60,30:70,45:55,40:60,55:45,50:50,40:60,55:45,50:50,50:50,55:45,40:60,45:55,45:55,50:50,40:60,60:40,50:50,45:55,45:55,50:50,40:60,55:45,55:45,50:50,55:45,60:40,50:50,45:55,,55:45,45:55,45:55,45:55,50:50,55:45,40:60,45:55,40:60,45:55,40:60,Yes
9/22/2023 21:22:10,Zero Suit Samus,Intermediate (I have participated in multiple tournaments),deft,60:40,55:45,60:40,60:40,55:45,55:45,40:60,60:40,60:40,60:40,,60:40,60:40,50:50,55:45,55:45,55:45,55:45,60:40,55:45,55:45,45:55,60:40,55:45,60:40,55:45,55:45,60:40,60:40,60:40,70:30,60:40,40:60,60:40,55:45,55:45,60:40,55:45,45:55,50:50,60:40,50:50,Yes
9/22/2023 21:50:51,Link,Top Player (I have won regional or larger sized tournaments),Blue,60:40,40:60,55:45,50:50,45:55,40:60,40:60,50:50,50:50,50:50,55:45,60:40,60:40,55:45,45:55,50:50,50:50,40:60,70:30,45:55,50:50,45:55,55:45,60:40,55:45,55:45,55:45,50:50,50:50,50:50,50:50,60:40,40:60,50:50,40:60,55:45,45:55,50:50,40:60,50:50,55:45,45:55,Yes
9/22/2023 21:51:20,Ice Climbers,High Level (I regularly make it out of pools in tournaments),Entropy,70:30,40:60,70:30,70:30,55:45,45:55,50:50,50:50,50:50,45:55,55:45,45:55,60:40,60:40,55:45,55:45,40:60,60:40,40:60,55:45,40:60,40:60,30:70,55:45,60:40,55:45,50:50,70:30,60:40,40:60,55:45,40:60,70:30,55:45,30:70,60:40,45:55,80:20,40:60,45:55,30:70,30:70,Yes
9/22/2023 21:52:11,Captain Falcon,High Level (I regularly make it out of pools in tournaments),Fury,70:30,50:50,70:30,55:45,60:40,45:55,30:70,70:30,80:20,55:45,55:45,60:40,70:30,60:40,55:45,55:45,60:40,55:45,60:40,60:40,50:50,30:70,55:45,60:40,60:40,60:40,55:45,60:40,60:40,60:40,55:45,70:30,30:70,55:45,70:30,55:45,70:30,55:45,45:55,70:30,80:20,50:50,Yes
9/22/2023 21:54:11,Peach,High Level (I regularly make it out of pools in tournaments),Cyphr,60:40,40:60,55:45,55:45,50:50,60:40,50:50,40:60,70:30,40:60,45:55,45:55,60:40,60:40,45:55,40:60,50:50,55:45,60:40,55:45,40:60,40:60,45:55,60:40,60:40,50:50,50:50,60:40,55:45,50:50,55:45,60:40,40:60,55:45,,55:45,50:50,55:45,50:50,60:40,55:45,40:60,Yes
